package,version,snapshot_time,folder,subfolder
afthd,0.1.0,2021-05-26 01:14:31,newbies,NA
AMR,1.7.0,2021-05-26 01:14:31,waiting,NA
archiveRetriever,0.1.0,2021-05-26 01:14:31,pending,NA
autocart,1.4.5,2021-05-26 01:14:31,pending,NA
bayesdfa,1.1.0,2021-05-26 01:14:31,inspect,NA
bayesplay,0.9.0,2021-05-26 01:14:31,newbies,NA
BGVAR,2.2.3,2021-05-26 01:14:31,inspect,NA
bibliometrix,3.1.2,2021-05-26 01:14:31,inspect,NA
bibliometrix,3.1.3,2021-05-26 01:14:31,inspect,NA
bigsnpr,1.7.5,2021-05-26 01:14:31,newbies,NA
cansim,0.3.8,2021-05-26 01:14:31,newbies,NA
CCWeights,0.1.2,2021-05-26 01:14:31,newbies,NA
conleyreg,0.1.1,2021-05-26 01:14:31,newbies,NA
dataprep,0.1.3,2021-05-26 01:14:31,waiting,NA
DPQ,0.4-4,2021-05-26 01:14:31,pending,NA
EnvNJ,0.1.2,2021-05-26 01:14:31,inspect,NA
eplusr,0.14.2,2021-05-26 01:14:31,waiting,NA
fastText,1.0.1,2021-05-26 01:14:31,pending,NA
fitdistrplus,1.1-5,2021-05-26 01:14:31,waiting,NA
geodata,0.2-2,2021-05-26 01:14:31,newbies,NA
GeoFIS,1.0.1,2021-05-26 01:14:31,pending,NA
ggheatmap,1.0,2021-05-26 01:14:31,newbies,NA
ggpp,0.4.0,2021-05-26 01:14:31,newbies,NA
hhsmm,0.1,2021-05-26 01:14:31,newbies,NA
IDSL.IPA,1.1,2021-05-26 01:14:31,newbies,NA
inline,0.3.19,2021-05-26 01:14:31,pending,NA
insee,1.1.0,2021-05-26 01:14:31,waiting,NA
landmap,0.0.11,2021-05-26 01:14:31,waiting,NA
lares,4.10.5,2021-05-26 01:14:31,newbies,NA
lomb,2.0,2021-05-26 01:14:31,waiting,NA
LSVAR,1.2,2021-05-26 01:14:31,newbies,NA
modeltime,0.6.0,2021-05-26 01:14:31,pending,NA
mRMRe,2.1.1,2021-05-26 01:14:31,newbies,NA
MultIS,0.5.1,2021-05-26 01:14:31,newbies,NA
natstrat,1.0.0,2021-05-26 01:14:31,newbies,NA
parameters,0.14.0,2021-05-26 01:14:31,waiting,NA
parsnip,0.1.6,2021-05-26 01:14:31,waiting,NA
PP,0.6.3-11,2021-05-26 01:14:31,pending,NA
psborrow,0.0.0.9000,2021-05-26 01:14:31,newbies,NA
qtl2ggplot,1.0.6,2021-05-26 01:14:31,newbies,NA
RABR,0.1.0,2021-05-26 01:14:31,newbies,NA
ragg,1.1.3,2021-05-26 01:14:31,waiting,NA
rapidraker,0.1.1,2021-05-26 01:14:31,newbies,NA
RcppCGAL,5.2.1,2021-05-26 01:14:31,newbies,NA
reproducible,1.2.7,2021-05-26 01:14:31,inspect,NA
rTLS,0.2.3.4,2021-05-26 01:14:31,newbies,NA
RTTWebClient,0.1.2,2021-05-26 01:14:31,waiting,NA
Rwofost,0.8-2,2021-05-26 01:14:31,pending,NA
s2,1.0.5,2021-05-26 01:14:31,pending,NA
seasonal,1.8.3,2021-05-26 01:14:31,pending,NA
secr,4.4.3,2021-05-26 01:14:31,pending,NA
shiny.react,0.2.1,2021-05-26 01:14:31,newbies,NA
shinyvalidate,0.1.0,2021-05-26 01:14:31,newbies,NA
sknifedatar,0.1.2,2021-05-26 01:14:31,pending,NA
SPOTMisc,1.2.2,2021-05-26 01:14:31,newbies,NA
statnipokladna,0.7.0,2021-05-26 01:14:31,waiting,NA
stratamatch,0.1.7,2021-05-26 01:14:31,inspect,NA
strucchangeRcpp,1.5-3-1.0.3,2021-05-26 01:14:31,inspect,NA
testarguments,0.0.1,2021-05-26 01:14:31,newbies,NA
textshape,1.7.3,2021-05-26 01:14:31,inspect,NA
TRES,1.1.4,2021-05-26 01:14:31,newbies,NA
unmarked,1.1.1,2021-05-26 01:14:31,pending,NA
VARDetect,0.1.3,2021-05-26 01:14:31,pending,NA
