package,version,snapshot_time,folder,subfolder
AnnoProbe,0.1.3,2021-06-16 15:24:25,newbies,NA
bayesforecast,1.0.1,2021-06-16 15:24:25,inspect,NA
bayesplay,0.9.0,2021-06-16 15:24:25,newbies,NA
bignum,0.2.1,2021-06-16 15:24:25,inspect,NA
BIOMASS,2.1.6,2021-06-16 15:24:25,newbies,NA
BuildSys,1.1.2,2021-06-16 15:24:25,inspect,NA
cropgrowdays,0.1.0,2021-06-16 15:24:25,newbies,NA
DescriptiveWH,1.0.3,2021-06-16 15:24:25,inspect,NA
DescTools,0.99.42,2021-06-16 15:24:25,inspect,NA
drughelper,0.1.0,2021-06-16 15:24:25,newbies,NA
drughelper,0.1.0,2021-06-16 15:24:25,waiting,NA
fHMM,0.3.0,2021-06-16 15:24:25,inspect,NA
geomander,1.0.8,2021-06-16 15:24:25,inspect,NA
gridpattern,0.1.2,2021-06-16 15:24:25,newbies,NA
h3jsr,1.2.2,2021-06-16 15:24:25,newbies,NA
individual,0.1.2,2021-06-16 15:24:25,inspect,NA
MAAPER,1.1.0,2021-06-16 15:24:25,inspect,NA
MAMS,1.4.2,2021-06-16 15:24:25,waiting,NA
medfate,2.2.2,2021-06-16 15:24:25,inspect,NA
minerva,1.5.10,2021-06-16 15:24:25,inspect,NA
nhdplusTools,0.4.2,2021-06-16 15:24:25,pending,NA
NPrior,0.1.7,2021-06-16 15:24:25,newbies,NA
pedsuite,1.0.2,2021-06-16 15:24:25,inspect,NA
pRecipe,0.1.0,2021-06-16 15:24:25,waiting,NA
ranlip,NA,2021-06-16 15:24:25,pretest,NA
RapidoPGS,2.1.0,2021-06-16 15:24:25,inspect,NA
rayvertex,0.2.3,2021-06-16 15:24:25,newbies,NA
realTimeSurv,1.1,2021-06-16 15:24:25,newbies,NA
recogito,0.1.1,2021-06-16 15:24:25,newbies,NA
requiRements,0.0.1,2021-06-16 15:24:25,inspect,NA
RHybridFinder,0.1.0,2021-06-16 15:24:25,inspect,NA
rmapzen,0.4.3,2021-06-16 15:24:25,inspect,NA
rpms,0.5.0.0,2021-06-16 15:24:25,inspect,NA
rpms,0.5.1,2021-06-16 15:24:25,inspect,NA
s2dv,1.0.0,2021-06-16 15:24:25,waiting,NA
ScottKnott,1.3-0,2021-06-16 15:24:25,inspect,NA
sparklyr,1.7.1,2021-06-16 15:24:25,inspect,NA
Spillover,0.101,2021-06-16 15:24:25,inspect,NA
spotifyr,2.2.1,2021-06-16 15:24:25,inspect,NA
Tratamentos.ad,0.1.1,2021-06-16 15:24:25,inspect,NA
vampyr,1.1.0,2021-06-16 15:24:25,newbies,NA
wbacon,0.5-1,2021-06-16 15:24:25,inspect,NA
XPolaris,1.0.1,2021-06-16 15:24:25,newbies,NA
