package,version,snapshot_time,folder,subfolder
aldvmm,0.8.3,2021-06-16 07:17:38,newbies,NA
AnnoProbe,0.1.3,2021-06-16 07:17:38,newbies,NA
AutoScore,0.2.0,2021-06-16 07:17:38,newbies,NA
bignum,0.2.1,2021-06-16 07:17:38,inspect,NA
BIOMASS,2.1.6,2021-06-16 07:17:38,newbies,NA
BuildSys,1.1.2,2021-06-16 07:17:38,inspect,NA
cropgrowdays,0.1.0,2021-06-16 07:17:38,newbies,NA
dbglm,1.0.0,2021-06-16 07:17:38,newbies,NA
declared,0.5,2021-06-16 07:17:38,newbies,NA
DescriptiveWH,1.0.3,2021-06-16 07:17:38,inspect,NA
DescTools,0.99.42,2021-06-16 07:17:38,inspect,NA
drughelper,0.1.0,2021-06-16 07:17:38,newbies,NA
EFA.MRFA,1.1.2,2021-06-16 07:17:38,newbies,NA
geomander,1.0.8,2021-06-16 07:17:38,inspect,NA
gesso,1.0.1,2021-06-16 07:17:38,waiting,NA
gridpattern,0.1.2,2021-06-16 07:17:38,newbies,NA
h3jsr,1.2.2,2021-06-16 07:17:38,newbies,NA
hhsmm,0.1.2,2021-06-16 07:17:38,newbies,NA
InDisc,1.1.0,2021-06-16 07:17:38,newbies,NA
lgpr,1.1.2,2021-06-16 07:17:38,newbies,NA
mark,0.1.3,2021-06-16 07:17:38,newbies,NA
mshap,0.1.0,2021-06-16 07:17:38,newbies,NA
MSiP,1.3.7,2021-06-16 07:17:38,newbies,NA
MultSurvTests,0.2,2021-06-16 07:17:38,newbies,NA
netplot,0.1-1,2021-06-16 07:17:38,newbies,NA
nhdplusTools,0.4.2,2021-06-16 07:17:38,pending,NA
NPrior,0.1.7,2021-06-16 07:17:38,newbies,NA
pRecipe,0.1.0,2021-06-16 07:17:38,waiting,NA
ranlip,NA,2021-06-16 07:17:38,pretest,NA
RapidoPGS,2.1.0,2021-06-16 07:17:38,inspect,NA
rayvertex,0.2.3,2021-06-16 07:17:38,newbies,NA
recogito,0.1,2021-06-16 07:17:38,newbies,NA
RHybridFinder,0.1.0,2021-06-16 07:17:38,inspect,NA
rmapzen,0.4.3,2021-06-16 07:17:38,inspect,NA
rmarchingcubes,0.1.2,2021-06-16 07:17:38,newbies,NA
rpms,0.5.0.0,2021-06-16 07:17:38,inspect,NA
SCEM,1.0.0,2021-06-16 07:17:38,newbies,NA
ScottKnott,1.3-0,2021-06-16 07:17:38,inspect,NA
shinytitle,0.1.0,2021-06-16 07:17:38,newbies,NA
sparklyr,1.7.1,2021-06-16 07:17:38,inspect,NA
Spillover,0.101,2021-06-16 07:17:38,inspect,NA
spotifyr,2.2.1,2021-06-16 07:17:38,inspect,NA
TailClassifier,0.1.0,2021-06-16 07:17:38,newbies,NA
tmap,3.3-2,2021-06-16 07:17:38,waiting,NA
Tratamentos.ad,0.1.0,2021-06-16 07:17:38,newbies,NA
tulips,1.0,2021-06-16 07:17:38,newbies,NA
XPolaris,1.0.1,2021-06-16 07:17:38,newbies,NA
