package,version,snapshot_time,folder,subfolder
amerifluxr,1.0.0,2022-02-01 18:28:15,newbies,NA
aMNLFA,1.1.2,2022-02-01 18:28:15,pending,NA
ATNr,1.0,2022-02-01 18:28:15,newbies,NA
baker,1.0.0,2022-02-01 18:28:15,newbies,NA
BigDataStatMeth,0.99.26,2022-02-01 18:28:15,pending,NA
canadianmaps,1.0.0,2022-02-01 18:28:15,newbies,NA
cassowaryr,1.0.1,2022-02-01 18:28:15,waiting,NA
collapse,1.7.4,2022-02-01 18:28:15,waiting,NA
domath,1.0,2022-02-01 18:28:15,newbies,NA
doMC,1.3.8,2022-02-01 18:28:15,waiting,NA
doSNOW,1.0.20,2022-02-01 18:28:15,waiting,NA
ecochange,2.4,2022-02-01 18:28:15,waiting,NA
endogeneity,2.0.0,2022-02-01 18:28:15,newbies,NA
factset.protobuf.stach.v2,1.0.2,2022-02-01 18:28:15,waiting,NA
factset.protobuf.stach.v2,1.0.3,2022-02-01 18:28:15,pending,NA
fcirt,0.1.0,2022-02-01 18:28:15,newbies,NA
fdacluster,0.1.0,2022-02-01 18:28:15,newbies,NA
finnishgrid,0.1.0,2022-02-01 18:28:15,newbies,NA
foreach,1.5.2,2022-02-01 18:28:15,waiting,NA
HDLSSkST,2.1.0,2022-02-01 18:28:15,waiting,NA
impactr,0.4.1,2022-02-01 18:28:15,waiting,NA
ipeadatar,0.1.6,2022-02-01 18:28:15,waiting,NA
iterators,1.0.14,2022-02-01 18:28:15,waiting,NA
LearnPCA,0.1.0,2022-02-01 18:28:15,newbies,NA
lehdr,1.0.1,2022-02-01 18:28:15,pretest,NA
libproj,8.2.1-1,2022-02-01 18:28:15,pending,NA
lowpassFilter,1.0-1,2022-02-01 18:28:15,waiting,NA
multilinguer,0.2.1,2022-02-01 18:28:15,pending,NA
netropy,0.1.0,2022-02-01 18:28:15,newbies,NA
ottr,1.1.3,2022-02-01 18:28:15,newbies,NA
PCObw,0.0.0,2022-02-01 18:28:15,newbies,NA
polimetrics,1.2.1.23,2022-02-01 18:28:15,waiting,NA
rankFD,0.1.1,2022-02-01 18:28:15,inspect,NA
sara4r,0.0.9,2022-02-01 18:28:15,inspect,NA
scINSIGHT,0.1.3,2022-02-01 18:28:15,waiting,NA
soundClass,0.0.9,2022-02-01 18:28:15,newbies,NA
StepBeta,0.1.0,2022-02-01 18:28:15,newbies,NA
wildmeta,0.1.0,2022-02-01 18:28:15,newbies,NA
zmisc,0.2.1,2022-02-01 18:28:15,newbies,NA
