package,version,snapshot_time,folder,subfolder
aMNLFA,1.1.2,2022-02-08 20:20:23,pending,NA
BigDataStatMeth,0.99.27,2022-02-08 20:20:23,pending,NA
cassowaryr,1.0.1,2022-02-08 20:20:23,waiting,NA
ChemoSpec,6.1.1,2022-02-08 20:20:23,inspect,NA
DBpower,0.1.0,2022-02-08 20:20:23,newbies,NA
dimRed,0.2.5,2022-02-08 20:20:23,pending,NA
FastImputation,2.1,2022-02-08 20:20:23,newbies,NA
geobr,1.6.6,2022-02-08 20:20:23,waiting,NA
glottospace,0.0.97,2022-02-08 20:20:23,newbies,NA
iq,1.9.2,2022-02-08 20:20:23,inspect,NA
libproj,8.2.1-1,2022-02-08 20:20:23,pending,NA
lrstat,0.1.3,2022-02-08 20:20:23,inspect,NA
magic,1.6-0,2022-02-08 20:20:23,pretest,NA
metap,1.8,2022-02-08 20:20:23,inspect,NA
musclesyneRgies,1.1.0,2022-02-08 20:20:23,newbies,NA
OptHoldoutSize,0.0.0.1,2022-02-08 20:20:23,newbies,NA
optimall,0.1.1,2022-02-08 20:20:23,inspect,NA
PUMP,1.0.0,2022-02-08 20:20:23,newbies,NA
rankFD,0.1.1,2022-02-08 20:20:23,inspect,NA
RcppUUID,1.1.1,2022-02-08 20:20:23,inspect,NA
rglplus,1.0,2022-02-08 20:20:23,newbies,NA
riAFTBART,0.1.0,2022-02-08 20:20:23,newbies,NA
rsat,0.1.18,2022-02-08 20:20:23,pending,NA
rv,2.3.5,2022-02-08 20:20:23,inspect,NA
sara4r,0.0.9,2022-02-08 20:20:23,inspect,NA
simphony,1.0.0,2022-02-08 20:20:23,newbies,NA
sketchy,1.0.2,2022-02-08 20:20:23,pretest,NA
thredds,0.1,2022-02-08 20:20:23,newbies,NA
tidySEM,0.2.1,2022-02-08 20:20:23,pending,NA
tipsae,0.0.3,2022-02-08 20:20:23,newbies,NA
VGAM,1.1-6,2022-02-08 20:20:23,waiting,NA
wINEQ,1.0.1,2022-02-08 20:20:23,newbies,NA
