package,version,snapshot_time,folder,subfolder
AgroR,1.2.4,2021-11-10 17:39:18,pending,NA
EpiSignalDetection,0.1.2,2021-11-10 17:39:18,pending,NA
Eunomia,1.0.2,2021-11-10 17:39:18,pending,NA
fsbrain,0.5.2,2021-11-10 17:39:18,inspect,NA
fuzzyreg,0.5.2,2021-11-10 17:39:18,inspect,NA
gamlss.spatial,2.0.1,2021-11-10 17:39:18,inspect,NA
GenomeAdapt,1.0.0,2021-11-10 17:39:18,newbies,NA
gert,1.4.3,2021-11-10 17:39:18,recheck,NA
googlePubsubR,0.0.1,2021-11-10 17:39:18,inspect,NA
hypervolume,3.0.0,2021-11-10 17:39:18,waiting,NA
libproj,8.1.0-2,2021-11-10 17:39:18,pending,NA
lmridge,1.2.1,2021-11-10 17:39:18,inspect,NA
magi,1.1.1,2021-11-10 17:39:18,pending,NA
mlr3pipelines,0.3.7,2021-11-10 17:39:18,pending,NA
randomForestSRC,2.14.0,2021-11-10 17:39:18,waiting,NA
rio,0.5.29,2021-11-10 17:39:18,pending,NA
RJDemetra,0.1.9,2021-11-10 17:39:18,pending,NA
RMVL,0.0.3.3,2021-11-10 17:39:18,pending,NA
rstac,0.9.1-6,2021-11-10 17:39:18,waiting,NA
seasonalityPlot,0.99.3,2021-11-10 17:39:18,newbies,NA
springpheno,0.5.0,2021-11-10 17:39:18,inspect,NA
SWTools,0.2.1.0,2021-11-10 17:39:18,human,UL
taxadb,0.1.4,2021-11-10 17:39:18,pending,NA
TiPS,1.1.0,2021-11-10 17:39:18,inspect,NA
torch,0.6.1,2021-11-10 17:39:18,pending,NA
tsentiment,1.0.2,2021-11-10 17:39:18,pending,NA
visae,0.2.0,2021-11-10 17:39:18,inspect,NA
