package,version,snapshot_time,folder,subfolder
admiral.test,0.1.0,2022-02-11 15:19:06,newbies,NA
aMNLFA,1.1.2,2022-02-11 15:19:06,pending,NA
BigDataStatMeth,0.99.27,2022-02-11 15:19:06,pending,NA
cassowaryr,1.0.1,2022-02-11 15:19:06,waiting,NA
cli,3.2.0,2022-02-11 15:19:06,recheck,NA
CohortPlat,1.0.5,2022-02-11 15:19:06,waiting,NA
crayon,1.5.0,2022-02-11 15:19:06,waiting,NA
epidm,1.0.0,2022-02-11 15:19:06,newbies,NA
FastJM,1.1.1,2022-02-11 15:19:06,pending,NA
FCO,0.7.2,2022-02-11 15:19:06,newbies,NA
freesurferformats,0.1.17,2022-02-11 15:19:06,recheck,NA
geobr,1.6.6,2022-02-11 15:19:06,waiting,NA
glottospace,0.0.101,2022-02-11 15:19:06,newbies,NA
icesDatsu,1.0.0,2022-02-11 15:19:06,newbies,NA
IGoRRR,0.2.0,2022-02-11 15:19:06,newbies,NA
iq,1.9.2,2022-02-11 15:19:06,inspect,NA
libproj,8.2.1-1,2022-02-11 15:19:06,pending,NA
MALDIrppa,1.1.0,2022-02-11 15:19:06,pending,NA
MFO,0.1.0,2022-02-11 15:19:06,newbies,NA
mvabund,4.2.1,2022-02-11 15:19:06,waiting,NA
randomForestSRC,3.0.1,2022-02-11 15:19:06,waiting,NA
rankFD,0.1.1,2022-02-11 15:19:06,inspect,NA
rsat,0.1.18,2022-02-11 15:19:06,pending,NA
starvz,0.7.1,2022-02-11 15:19:06,waiting,NA
VGAM,1.1-6,2022-02-11 15:19:06,waiting,NA
wINEQ,1.0.1,2022-02-11 15:19:06,newbies,NA
